,tweet_id,favorites,retweets
0,892420643555336193,38706,8563
1,892177421306343426,33175,6299
2,891815181378084864,24977,4180
3,891689557279858688,42112,8695
4,891327558926688256,40249,9456
5,891087950875897856,20180,3133
6,890971913173991426,11824,2086
7,890729181411237888,65396,19001
8,890609185150312448,27738,4285
9,890240255349198849,31883,7454
10,890006608113172480,30598,7373
11,889880896479866881,27734,4998
12,889665388333682689,48026,10112
13,889638837579907072,27120,4568
14,889531135344209921,15073,2245
15,889278841981685760,25257,5458
16,888917238123831296,29021,4518
17,888804989199671297,25547,4367
18,888554962724278272,19863,3598
19,888078434458587136,21712,3511
20,887705289381826560,30129,5418
21,887517139158093824,46147,11726
22,887473957103951883,69000,18325
23,887343217045368832,33624,10459
24,887101392804085760,30474,5991
25,886983233522544640,35083,7813
26,886736880519319552,12045,3312
27,886680336477933568,22377,4493
28,886366144734445568,21155,3212
29,886267009285017600,116,4
30,886258384151887873,27918,6319
31,886054160059072513,0,104
32,885984800019947520,32644,6844
33,885528943205470208,35928,6467
34,885518971528720385,20383,3778
35,885311592912609280,0,18664
36,885167619883638784,21900,4403
37,884925521741709313,77435,18546
38,884876753390489601,27894,5816
39,884562892145688576,24252,4894
40,884441805382717440,26942,5674
41,884247878851493888,72882,20552
42,884162670584377345,20344,3003
43,883838122936631299,21856,3462
44,883482846933004288,45880,10023
45,883360690899218434,22524,3698
46,883117836046086144,37158,6710
47,882992080364220416,23914,3944
48,882762694511734784,28265,4950
49,882627270321602560,27861,6130
50,882268110199369728,44922,11679
51,882045870035918850,29300,5013
52,881906580714921986,24245,3418
53,881666595344535552,50488,10748
54,881633300179243008,128,7
55,881536004380872706,49374,16087
56,881268444196462592,23031,5190
57,880935762899988482,16980,2794
58,880872448815771648,21277,3844
59,880465832366813184,28485,6331
60,880221127280381952,27025,4265
61,880095782870896641,27577,4387
62,879862464715927552,22266,3520
63,879674319642796034,311,10
64,879492040517615616,23375,3205
65,879415818425184262,105743,44536
66,879376492567855104,16748,3140
67,879130579576475649,0,6896
68,879050749262655488,22548,4748
69,879008229531029506,18939,2715
70,878776093423087618,19370,4163
71,878604707211726852,30241,7295
72,878404777348136964,0,1307
73,878316110768087041,0,6703
74,878281511006478336,7747,1307
75,878057613040115712,42006,6896
76,877736472329191424,79864,19321
77,877611172832227328,0,81
78,877556246731214848,22717,3856
